id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
83,Universidad de Buenos Aires,Facultad de Ingeniería,,Paseo Colon Av. 850,San Telmo,Comuna 1,4331-0833/4342-6272/2659 (R)4343-0891 (C)0,4345-7262,www.uba.ar   www.fi.uba.ar,POINT (-58.36875398857824 -34.617777761055365)
84,Universidad de Buenos Aires,Facultad de Filosofía y Letras,,Puan 470,Caballito,Comuna 6,4432-9608/0606,4432-0121,www.uba.ar   www.filo.uba.ar,POINT (-58.44664709566708 -34.62826348009255)
85,Universidad de Buenos Aires,,"Sede - ""Tucumán""(ex ""Uriburu"")",Tucuman 3177,Balvanera,Comuna 3,4508-3977,,www.uba.ar,POINT (-58.41041903048634 -34.600569587559484)
86,Universidad de Buenos Aires,Rectorado,,Reconquista 694 / Viamonte 430 / Viamonte 444,San Nicolas,Comuna 1,4511-8153 (C)4510-1100,4511-8123,www.uba.ar,POINT (-58.373203995002385 -34.59974793459724)
87,Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Económicas,,"Paraguay 1457, 3º piso",Recoleta,Comuna 2,4815-3290,4816-5144,www.uces.edu.ar,POINT (-58.387600517263294 -34.598290181311995)
88,Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Comunicación,,Paraguay 1401,Recoleta,Comuna 2,4815-3290,4814-5255,www.uces.edu.ar,POINT (-58.38711402523791 -34.59825778761145)
89,Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Salud - Rectorado,,Paraguay 1237,Retiro,Comuna 1,4815-3290/494/495,4813-5635,www.uces.edu.ar,POINT (-58.384671099933556 -34.59809118655968)
90,Universidad de Ciencias Empresariales y Sociales,Departamento de Posgrados,,"Paraguay 1338, Piso 11",Retiro,Comuna 1,4815-3290/ 491,,www.uces.edu.ar,POINT (-58.38613193591176 -34.598251668891216)
91,Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Jurídicas y Sociales,,"Paraguay 1462, 1º piso",Recoleta,Comuna 2,4815-3290,4815-3290,www.uces.edu.ar,POINT (-58.38772165213852 -34.59837158860944)
92,Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Empresariales,,Paraguay 1318,Retiro,Comuna 1,4815-3290,813-2915,www.uces.edu.ar,POINT (-58.38589478988269 -34.59823440045184)
93,Universidad de Flores,Facultad de Actividad Física y Deporte - Facultad de Administración - Facultad de Ingeniería - Rectorado,,Nazca Av. 274,Flores,Comuna 7,4611-4800/4613-3636,4611-4800,www.uflo.edu.ar,POINT (-58.47063906365035 -34.62872001489921)
94,Universidad de Flores,Facultad de Derecho - Facultad de Planeamiento Socioambiental - Facultad de Psicología,,Pedernera 275,Flores,Comuna 7,4637-4500,4637-4500,www.uflo.edu.ar,POINT (-58.46280481154296 -34.63249865706519)
95,Universidad de la Marina Mercante,Facultad de Administración y Economía - Facultad de Humanidades y Ciencias Sociales - Facultad de Ingeniería - Rectorado,,Rivadavia Av. 2258,Balvanera,Comuna 3,4953-9000/4952-4700/4440/6767,4953-9000,www.udemm.edu.ar,POINT (-58.398416887729084 -34.6097058458462)
96,Universidad de Morón,Instituto Argentino de Seguridad,,"Callao Av. 262, 1º piso",Balvanera,Comuna 3,4375-0104,,,POINT (-58.39226796169468 -34.60605288226946)
97,Universidad de Morón,,Anexo Académico Barrio Norte,"Uriburu Jose E., Pres. 1022 / Uriburu Jose E., Pres. 1045",Recoleta,Comuna 2,4821-2616/4822-6824,,,POINT (-58.398843183840896 -34.59666712733562)
98,Universidad de Morón,IAETES (Instituto Argentino de Estudios Técnicos Económicos y Sociales),,"San Jose 225, 1º piso / San Jose 243, 1º piso",Monserrat,Comuna 1,4381-3358,,,POINT (-58.38619186566641 -34.61159041345217)
99,Universidad de Morón,,Anexo Académico Villa Urquiza,Triunvirato Av. 4671,Villa Urquiza,Comuna 12,4521-3500,,,POINT (-58.48595505490286 -34.57451979542834)
100,Universidad de Morón,Escuela Argentina de Negocios,,Esmeralda 321,San Nicolas,Comuna 1,4326-4860,,,POINT (-58.37799141433753 -34.6044079385044)
101,Universidad de Morón,Gestión Hotelera,Anexo Caballito,"Oroño, Nicasio 942",Caballito,Comuna 6,4581-8001,,,POINT (-58.45447955293188 -34.61370700454072)
102,Universidad de Morón,Cámara Inmobiliaria Argentina,,"Mitre, Bartolome 784, 1º piso",San Nicolas,Comuna 1,5031-3333,,,POINT (-58.37757713046635 -34.607062230198785)
103,Universidad de Palermo,Facultad de Arquitectura,,"Jaures, Jean 932",Balvanera,Comuna 3,4962-4647/5199 -4500,4963-1560,www.palermo.edu,POINT (-58.40706581499163 -34.59910159657594)
104,Universidad de Palermo,Cátedra Unesco en Educación Superior - Facultad de Ingeniería,,"Bravo, Mario 1302",Palermo,Comuna 14,5199-4500,4963-1560,www.palermo.edu,POINT (-58.41472330952374 -34.59467620122001)
105,Universidad de Palermo,Facultad de Ciencias Sociales,,"Bravo, Mario 1259",Recoleta,Comuna 2,5199-4500,4963-1560,www.palermo.edu,POINT (-58.41473655845573 -34.59500524499742)
106,Universidad de Palermo,Facultad de Ciencias Económicas y Empresariales - Facultad de Derecho - Facultad de Diseño y Comunicación - Rectorado,,"Bravo, Mario 1050",Palermo,Comuna 14,5199-4500,4963-1560,www.palermo.edu,POINT (-58.41584128541127 -34.59732397920401)
107,Universidad del CEMA,Departamento de Ingeniería - Departamento de Matemática e Informática,,Reconquista 775,San Nicolas,Comuna 1,6314-2269 (C)6314-3000,6314-1654,www.cema.edu.ar,POINT (-58.37273212899387 -34.598791836487834)
108,Universidad del CEMA,Departamento de Ciencias Políticas - Departamento de Contabilidad - Departamento de Dirección de Empresas - Departamento de Economía - Departamento de Finanzas - Departamento de Investigaciones - Maestría en Dirección Bancaria y Agronegocios - Maest,,Cordoba Av. 374,San Nicolas,Comuna 1,6314-2269 (C)6314-3000,6314-1654,www.cema.edu.ar,POINT (-58.37236348410354 -34.59856644668209)
109,Universidad del Cine,Facultad de Ciencias de la Comunicación - Facultad de Cinematografía - Rectorado,,"Giuffra, Jose M.,Dr. 330 / Giuffra, Jose M.,Dr. 353",San Telmo,Comuna 1,(R)4300-1413/4300-1407,4300-0674,www.ucine.edu.ar,POINT (-58.37064141777774 -34.61784196426518)
110,Universidad del Museo Social Argentino,Facultad de Ciencias Económicas de la Administración y de los Negocios,,"Alsina, Adolfo 1440",Monserrat,Comuna 1,4383-6809/7018,4375-4600,www.umsa.edu.ar,POINT (-58.386679476405035 -34.61115897872477)
111,Universidad del Museo Social Argentino,Facultad de Ciencias de la Interacción Social - Facultad de Ciencias de la Recuperación Humana - Facultad de Ciencias Jurídicas y Políticas - Facultad de Ciencias Psicológicas y Pedagógicas - Facultad de Lenguas Modernas - Rectorado,,Corrientes Av. 1723,San Nicolas,Comuna 1,4375-4601/4602/ 4372-5098/99,4375-4600,www.umsa.edu.ar,POINT (-58.39131623720295 -34.60428494491914)
112,Universidad del Museo Social Argentino,Facultad de Artes y Ciencias de la Conservación,,Sarmiento 1565,San Nicolas,Comuna 1,5217-9401,4375-4600,www.umsa.edu.ar,POINT (-58.388832813866124 -34.60538658734375)
113,Universidad del Norte Santo Tomás de Aquino,Facultad de Filosofía,,Defensa 422,Monserrat,Comuna 1,4345-4817,4345-4817,,POINT (-58.371851323868874 -34.61307232278972)
114,Universidad del Salvador,Rectorado,,Viamonte 1856,Balvanera,Comuna 3,4813-9630/1408,4812-4625,www.salvador.edu.ar,POINT (-58.39357554506804 -34.60087709883647)
115,Universidad del Salvador,Facultad de Ciencias Jurídicas,,"Peron, Juan Domingo, Tte. General 1818",Balvanera,Comuna 3,4372-5308,4372-5308,www.salvador.edu.ar,POINT (-58.392512020626704 -34.606864409993925)
116,Universidad del Salvador,Instituto de Capacitación Contínua,,Rodriguez Peña 770,San Nicolas,Comuna 1,4813-0180,4813-0180,www.salvador.edu.ar,POINT (-58.39154423939391 -34.60010938573885)
117,Universidad del Salvador,"Facultad de Filosofía, Historia y Letras",,Rodriguez Peña 670,San Nicolas,Comuna 1,4375-2959,4375-2959,www.salvador.edu.ar,POINT (-58.391429263851535 -34.60117405595793)
118,Universidad del Salvador,Facultad de Ciencias Económicas,,"Alvear, Marcelo T. De 1335 / Alvear, Marcelo T. De 1337",Retiro,Comuna 1,4811-1279/4813-5622/3408,4811-1279,www.salvador.edu.ar,POINT (-58.386208133832895 -34.59695769295387)
119,Universidad del Salvador,Escuela de Arte y Arquitectura,,Junin 1063,Recoleta,Comuna 2,4825-8622,4825-8622,www.salvador.edu.ar,POINT (-58.39741010610676 -34.59632078122722)
120,Universidad del Salvador,Escuela de Estudios Orientales - Facultad de Ciencias de la Educación y de la Comunicación Social,,Callao Av. 853,Recoleta,Comuna 2,4811-2270,4812-9853,www.salvador.edu.ar,POINT (-58.39290424336531 -34.599032087639074)
121,Universidad del Salvador,Facultad de Ciencias Sociales - Instituto de Prevención de la Drogadependencia,,"Yrigoyen, Hipolito 2441, 2º  piso",Balvanera,Comuna 3,4952-1403/4951,4952-6471,www.salvador.edu.ar,POINT (-58.400819614008306 -34.61090754912652)
122,Universidad del Salvador,Facultad de Ciencia y Tecnología - Facultad de Ciencias de la Administración - Facultad de Ciencias Económicas - Facultad de Psicología y Psicopedagogía,,"Alvear, Marcelo T. De 1312",Retiro,Comuna 1,4813-3400/9639,4813-9639,www.salvador.edu.ar,POINT (-58.38585544710188 -34.59702371624977)
123,Universidad del Salvador,Facultad de Medicina,,Tucuman 1845,Balvanera,Comuna 3,4811-8519/4813-2935,4811-8519,www.salvador.edu.ar,POINT (-58.39329298769591 -34.60188508347873)
124,Universidad Favaloro,Facultad de Posgrado - Rectorado,,Solis 453,Monserrat,Comuna 1,4378-1169/1170/1161,4381-0323,www.favaloro.edu.ar,POINT (-58.3904248114106 -34.61435961434144)
125,Universidad Favaloro,Facultad de Ciencias Médicas,,"Belgrano Av. 1782, 2º piso",Monserrat,Comuna 1,4378-1237,4378-1238,www.favaloro.edu.ar,POINT (-58.391345570814856 -34.61387579530089)
126,Universidad Favaloro,Facultad de Ingeniería y Ciencias Exactas y Naturales,,"Belgrano Av. 1723, piso 1º",Monserrat,Comuna 1,4378-1117,4384-0782,www.favaloro.edu.ar,POINT (-58.390660962239096 -34.613663573899395)
127,Universidad Maimónides,Rectorado,,Talcahuano 456,San Nicolas,Comuna 1,4373-1090/4905-1154 /4382-7510,4373-1090,www.maimonides.edu,POINT (-58.385172493415695 -34.603233378612906)
128,Universidad Maimónides,Escuela de Comunicación Multimedial - Escuela Internacional de Negocios - Facultad de Ciencias de la Salud - Facultad de Humanidades,,Hidalgo 775,Caballito,Comuna 6,4905-1199,4905-1162,www.maimonides.edu,POINT (-58.440996442445865 -34.6104516967029)
129,Universidad Nacional de General San Martín,Escuela de Política y Gobierno - Instituto de Altos Estudios Sociales,,Parana 145,San Nicolas,Comuna 1,4754-7300// 4372-3289,4374-7007,www.ungsm.edu.ar,POINT (-58.38773519775892 -34.607181725515204)
